keyframe_id,frame_index,timestamp
0,0,1305031102.175304
1,3,1305031102.311267
2,8,1305031102.475318
3,11,1305031102.611233
4,15,1305031102.775472
5,19,1305031102.911185
6,24,1305031103.11124
7,29,1305031103.31121
8,40,1305031103.675523
9,45,1305031103.843251
10,49,1305031103.975373
11,53,1305031104.111235
12,57,1305031104.243196
13,61,1305031104.375837
14,67,1305031104.575343
15,71,1305031104.711277
16,75,1305031104.843258
17,85,1305031105.175159
18,89,1305031105.31129
19,93,1305031105.443316
20,97,1305031105.575449
21,100,1305031105.711309
22,104,1305031105.843271
23,108,1305031105.975329
24,113,1305031106.143355
25,120,1305031106.375388
26,129,1305031106.675279
27,133,1305031106.811289
28,137,1305031106.943439
29,141,1305031107.075432
30,146,1305031107.243378
31,151,1305031107.411271
32,171,1305031108.075352
33,177,1305031108.275358
34,182,1305031108.44361
35,186,1305031108.575414
36,190,1305031108.711411
37,195,1305031108.943243
38,203,1305031109.211379
39,208,1305031109.375397
40,213,1305031109.543294
41,218,1305031109.711312
42,224,1305031109.911265
43,229,1305031110.075319
44,234,1305031110.243323
45,240,1305031110.44326
46,244,1305031110.579426
47,249,1305031110.743249
48,265,1305031111.279308
49,271,1305031111.479259
50,275,1305031111.611271
51,278,1305031111.71176
52,280,1305031111.779423
53,286,1305031111.979449
54,289,1305031112.079339
55,293,1305031112.211254
56,297,1305031112.343323
57,303,1305031112.543212
58,324,1305031113.243227
59,328,1305031113.379312
60,332,1305031113.511523
61,335,1305031113.611268
62,340,1305031113.77932
63,345,1305031113.943291
64,350,1305031114.111263
65,354,1305031114.243337
66,358,1305031114.37932
67,362,1305031114.511266
68,385,1305031115.279966
69,388,1305031115.379166
70,393,1305031115.543604
71,395,1305031115.611424
72,397,1305031115.679241
73,400,1305031115.779425
74,403,1305031115.879198
75,408,1305031116.043164
76,412,1305031116.179572
77,417,1305031116.343292
78,429,1305031116.743291
79,432,1305031116.846089
80,435,1305031116.943296
81,438,1305031117.043261
82,442,1305031117.179264
83,455,1305031117.611159
84,461,1305031117.81132
85,466,1305031117.979228
86,471,1305031118.143256
87,476,1305031118.311299
88,493,1305031118.879208
89,497,1305031119.011363
90,502,1305031119.179226
91,507,1305031119.347741
92,512,1305031119.51124
93,518,1305031119.715232
94,524,1305031119.911401
95,541,1305031120.479432
96,546,1305031120.647354
97,552,1305031120.847921
98,558,1305031121.047498
99,564,1305031121.247194
100,569,1305031121.414318
101,577,1305031121.6832
102,596,1305031122.314289
103,601,1305031122.48336
104,607,1305031122.683402
105,612,1305031122.851418
106,618,1305031123.051827
107,623,1305031123.214704
108,629,1305031123.411363
109,635,1305031123.611335
110,656,1305031124.311361
111,661,1305031124.480099
112,666,1305031124.651271
113,670,1305031124.779365
114,674,1305031124.911448
115,678,1305031125.050763
116,684,1305031125.250632
117,694,1305031125.579308
118,704,1305031125.911305
119,709,1305031126.079356
120,714,1305031126.247298
121,719,1305031126.411465
122,726,1305031126.647376
123,758,1305031127.711375
124,789,1305031128.747363
